ID,STASH,STASHmaster description,Units,Valid from,Valid to,CF standard name,CF info,PP conditions
1,2208,CLEAR-SKY (II) DOWN SURFACE LW FLUX,W m-2,,407,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,,
1,2232,LW HEATING RATES,K s-1,,,tendency_of_air_temperature_due_to_longwave_heating,,
1,2233,CLEAR-SKY LW HEATING RATES,K s-1,,407,tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,,
1,2237,NET DOWNWARD LW FLUX AT THE TROP.,W m-2,404,407,tropopause_net_downward_longwave_flux,,
1,2238,TOTAL DOWNWARD LW FLUX AT THE TROP.,W m-2,404,407,tropopause_downwelling_longwave_flux,,
1,3002,U COMPNT OF WIND AFTER B.LAYER,m s-1,,,eastward_wind,,true_latitude_longitude
1,3002,U COMPNT OF WIND AFTER B.LAYER,m s-1,,,x_wind,,rotated_latitude_longitude
1,3003,V COMPNT OF WIND AFTER B.LAYER,m s-1,,,northward_wind,,true_latitude_longitude
1,3003,V COMPNT OF WIND AFTER B.LAYER,m s-1,,,y_wind,,rotated_latitude_longitude
1,3004,TEMPERATURE AFTER B.LAYER,m s-1,,,air_temperature,,
1,3010,SPECIFIC HUMIDITY AFTER B.LAYER,1,,,specific_humidity,,
1,3024,SURFACE TEMPERATURE AFTER B.LAYER,K,,407,surface_temperature,,
1,3025,BOUNDARY LAYER DEPTH AFTER B.LAYER,m,,,atmosphere_boundary_layer_thickness,,
1,3026,ROUGHNESS LEN. AFTER B.L. (SEE DOC),,,,,,
1,3049,SEA-ICE TEMPERATURE AFTER B. LAYER,K,,407,sea_ice_temperature,,
1,3100,FLUX OF TRACER 1 IN BL,,,407,,,
1,3101,FLUX OF TRACER 2 IN BL,,,407,,,
1,3102,FLUX OF TRACER 3 IN BL,,,407,,,
1,3103,FLUX OF TRACER 4 IN BL,,,407,,,
1,3104,FLUX OF TRACER 5 IN BL,,,407,,,
1,3105,FLUX OF TRACER 6 IN BL,,,407,,,
1,3106,FLUX OF TRACER 7 IN BL,,,407,,,
1,3107,FLUX OF TRACER 8 IN BL,,,407,,,
1,3108,FLUX OF TRACER 9 IN BL,,,407,,,
1,3109,FLUX OF TRACER 10 IN BL,,,407,,,
1,3110,FLUX OF TRACER 11 IN BL,,,407,,,
1,3111,FLUX OF TRACER 12 IN BL,,,407,,,
1,3112,FLUX OF TRACER 13 IN BL,,,407,,,
1,3113,FLUX OF TRACER 14 IN BL,,,407,,,
1,3114,FLUX OF TRACER 15 IN BL,,,407,,,
1,3115,FLUX OF TRACER 16 IN BL,,,407,,,
1,3116,FLUX OF TRACER 17 IN BL,,,407,,,
1,3117,FLUX OF TRACER 18 IN BL,,,407,,,
1,3118,FLUX OF TRACER 19 IN BL,,,407,,,
1,3119,FLUX OF TRACER 20 IN BL,,,407,,,
1,3120,FLUX OF TRACER 21 IN BL,,,407,,,
1,3121,FLUX OF TRACER 22 IN BL,,,407,,,
1,3122,FLUX OF TRACER 23 IN BL,,,407,,,
1,3123,FLUX OF TRACER 24 IN BL,,,407,,,
1,3124,FLUX OF TRACER 25 IN BL,,,407,,,
1,3125,FLUX OF TRACER 26 IN BL,,,407,,,
1,3126,FLUX OF TRACER 27 IN BL,,,407,,,
1,3127,FLUX OF TRACER 28 IN BL,,,407,,,
1,3128,FLUX OF TRACER 29 IN BL,,,407,,,
1,3129,FLUX OF TOTAL AEROSOL IN BL,,,407,,,
1,3201,HEAT FLUX THROUGH SEA ICE (GBM) W/M2,W m-2,,407,downward_heat_flux_in_sea_ice,,
1,3202,HT FLUX FROM SURF TO DEEP SOIL LEV 1,W m-2,,407,downward_heat_flux_in_soil,,
1,3203,CD,,,407,,,
1,3204,CH,,,407,,,
1,3205,SURFACE LAYER WIND SHEAR,,,407,,,
1,3206,RHOSTAR * CD * SURF_LAYER_WIND_SHEAR,,,407,,,
1,3207,RHOSTAR * CH * SURF_LAYER_WIND_SHEAR,,,407,,,
1,3208,LOWEST LAYER BULK RICHARDSON NO. RIB,,,,,,
1,3209,CD (OPEN SEA VALUE AT SEA ICE PTS),,,400.2,,,
1,3210,CH (OPEN SEA VALUE AT SEA ICE PT),,,400.2,,,
1,3211,CD (M.ICE ZONE VALUE AT SEA ICE PT),,,400.2,,,
1,3212,CH (M.ICE ZONE VALUE AT SEA ICE PT),,,400.2,,,
1,3213,CD (COMPLETE SEAICE VALUE@SEAICE PT),,,400.2,,,
1,3214,CH (COMPLETE SEAICE VALUE@SEAICE PT),,,400.2,,,
1,3215,RIB SURFACE LAYER (LEADS),,,400.2,,,
1,3216,RIB SURFACE LAYER (SEA ICE),,,400.2,,,
1,3217,SURFACE HEAT FLUX W/M2,W m-2,501,,surface_upward_sensible_heat_flux,,		
1,3219,X-COMP OF SURF & BL WIND STRESS N/M2,Pa,,407,surface_downward_eastward_stress,,true_latitude_longitude
1,3220,Y-COMP OF SURF & BL WIND STRESS N/M2,Pa,,407,surface_downward_northward_stress,,true_latitude_longitude
1,3223,SURF & BL TOTL MOISTURE FLUX KG/M2/S,kg m-2 s-1,,500,upward_water_vapor_flux_in_air,,
1,3224,WIND MIXING EN'GY FLUX INTO SEA W/M2,W m-2,,502,wind_mixing_energy_flux_into_sea_water,,
1,3225,10 METRE WIND U-COMP,m s-1,,500,eastward_wind,height=10m,true_latitude_longitude
1,3225,10 METRE WIND U-COMP,m s-1,,500,x_wind,height=10m,rotated_latitude_longitude
1,3226,10 METRE WIND V-COMP,m s-1,,500,northward_wind,height=10m,true_latitude_longitude
1,3226,10 METRE WIND V-COMP,m s-1,,500,y_wind,height=10m,rotated_latitude_longitude
1,3227,SURFACE SH FLUX FROM LEADS(GBM) W/M2,,,400.2,,,
1,3228,SURFACE SH FLUX FROM SEA (GBM) W/M2,W m-2,,407,surface_upward_sensible_heat_flux,where_open_sea,
1,3229,EVAP FROM SOIL SURF -AMOUNT KG/M2/TS,,,407,,,
1,3230,EVAP FROM CANOPY - AMOUNT KG/M2/TS,,,407,,,
1,3231,SUBLIM. FROM SURFACE (GBM) KG/M2/TS,,,407,,,
1,3232,EVAPORATION FROM SEA (GBM) KG/M2/S,,,407,,,
1,3234,SURFACE LATENT HEAT FLUX W/M2,W m-2,,407,surface_upward_latent_heat_flux,,
1,3235,SEAICE TOP MELTING LH FLUX(GBM) W/M2,,,407,,,
1,3236,TEMPERATURE AT 1.5M,K,,,air_temperature,height=1.5m,
1,3237,SPECIFIC HUMIDITY AT 1.5M,1,,407,specific_humidity,height=1.5m,
1,3238,DEEP SOIL TEMPERATURE AFTER B.LAYER,K,,,soil_temperature,,
1,3239,CLOUD LIQUID WATER AFTER B.LAYER,,,,,,
1,3240,CLOUD ICE CONTENT AFTER B.LAYER,,,,,,
1,3241,TOTAL SURF MOIST FLUX PER TIMESTEP,,,407,,,
1,3242,CLOUD FRACTION AT 1.5M,,,407,,,
1,3243,CLOUD LIQUID WATER AT 1.5M,,,407,,,
1,3244,CLOUD ICE CONTENT AT 1.5M,,,407,,,
1,3245,RELATIVE HUMIDITY AT 1.5M,%,,,relative_humidity,height=1.5m,
1,3246,OROGRAPHIC ROUGHNESS,,,400.2,,,
1,3247,VISIBILITY AT 1.5M M,,,,,,
1,3248,FOG FRACTION AT 1.5 M,,,407,,,
1,3249,10 METRE WIND SPEED M/S,m s-1,,407,wind_speed,height=10m,
1,3250,DEWPOINT AT 1.5M (K),K,,407,dew_point_temperature,height=1.5m,
1,3251,SILHOUETTE OROGRAPHIC ROUGHNESS,,,407,,,
1,3252,HALF OF (PEAK TO TROUGH HT OF OROG),,,407,,,
1,3253,PROBABILITY OF VIS LESS THAN 5 KM,,,407,,,
1,3254,TL AT 1.5M,,,407,,,
1,3255,QT AT 1.5M,,,407,,,
1,3256,RHO_CD_MODV1,,,407,,,
1,3257,RHO_KM,,,407,,,
1,3258,SURFACE SNOWMELT HEAT FLUX W/M2,W m-2,,407,surface_snow_melt_heat_flux,,
1,3259,CANOPY CONDUCTANCE M/S,,401,407,,,
1,3260,TRANSPIRATION KG/M2/TS,kg m-2,401,407,transpiration_amount,user_delta_t,
1,3261,GROSS PRIMARY PRODUCTIVITY KG C/M2/S,kg m-2 s-1,401,407,gross_primary_productivity_of_carbon,,
1,3262,NET PRIMARY PRODUCTIVITY KG C/M2/S,kg m-2 s-1,401,407,net_primary_productivity_of_carbon,,
1,3263,PLANT RESPIRATION KG/M2/S,kg m-2 s-1,401,407,plant_respiration_carbon_flux,,
1,3264,LEAF AREA INDEX OF VEG FRACTION,1,401,407,leaf_area_index,,
1,3265,CANOPY HEIGHT OF VEGETATED FRACTION,m,401,407,canopy_height,,
1,3270,SO2 SURFACE DRY DEP FLUX KG/M2/S,kg m-2 s-1,401,407,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,,
1,3271,SO4 AIT SURF DRY DEP FLUX KG/M2/S,,401,407,,,
1,3272,SO4 ACC SURF DRY DEP FLUX KG/M2/S,,401,407,,,
1,3273,SO4 DIS SURF DRY DEP FLUX KG/M2/S,,401,407,,,
1,3274,RESIST B FOR SO2 AFTER TS S/M,,401,407,,,
1,3275,RESIST B FOR SO4 AIT AFTER TS S/M,,401,407,,,
1,3276,RESIST B FOR SO4 ACC AFTER TS S/M,,401,407,,,
1,3277,RESIST B FOR SO4 DIS AFTER TS S/M,,401,407,,,
1,3278,RESIST S FOR SO2 AFTER TS S/M,,401,407,,,
1,3279,RESIST S FOR SO4 AIT AFTER TS S/M,,401,407,,,
1,3280,RESIST S FOR SO4 ACC AFTER TS S/M,,401,407,,,
1,3281,RESIST S FOR SO4 DIS AFTER TS S/M,,401,407,,,
1,3282,DRY DEP VEL FOR SO2 AFTER TS M/S,,401,407,,,
1,3283,DRY DEP VEL FOR SO4 AIT AFTER TS M/S,,401,407,,,
1,3284,DRY DEP VEL FOR SO4 ACC AFTER TS M/S,,401,407,,,
1,3285,DRY DEP VEL FOR SO4 DIS AFTER TS M/S,,401,407,,,
1,3286,AERODYNAMIC RESISTANCE AFTER TS,,401,407,,,
1,3287,CANOPY EVAPORATION ON NON-ICE TILES,,404,407,,,
1,3288,TRANSPIRATION+SOIL EVP NON-ICE TILES,,404,407,,,
1,3289,GROSS PRIMARY PRODUCTIVITY ON PFTS,,404,407,,,
